gp_code,gp_name,assigned_block_name,assigned_block_lgd,district_name,state_name
186506,GOLEGAON,SHIRUR,4523,Pune,MAHARASHTRA
186560,SHIRUR GRAMIN,SHIRUR,4523,Pune,MAHARASHTRA
186572,WADNER KH.,SHIRUR,4523,Pune,MAHARASHTRA
186552,RAWADEWADI,SHIRUR,4523,Pune,MAHARASHTRA
186539,NIMGAON DUDE,SHIRUR,4523,Pune,MAHARASHTRA
186563,TAKALI HAJI,SHIRUR,4523,Pune,MAHARASHTRA
298906,MHASE BK,SHIRUR,4523,Pune,MAHARASHTRA
186518,KAREGAON,SHIRUR,4523,Pune,MAHARASHTRA
186490,BABHULSAR KH.,SHIRUR,4523,Pune,MAHARASHTRA
186501,DHOKSANGAVI,SHIRUR,4523,Pune,MAHARASHTRA
186550,RANJANGAON GANPATI,SHIRUR,4523,Pune,MAHARASHTRA
186548,PIMPRI DUMALA,SHIRUR,4523,Pune,MAHARASHTRA
186561,SONESANGAVI,SHIRUR,4523,Pune,MAHARASHTRA
186538,NIMGAON BHOGI,SHIRUR,4523,Pune,MAHARASHTRA
186485,AMADABAD,SHIRUR,4523,Pune,MAHARASHTRA
186496,CHINCHOLI MORACHI,SHIRUR,4523,Pune,MAHARASHTRA
186531,MALTHAN,SHIRUR,4523,Pune,MAHARASHTRA
186575,WAGHOLE,SHIRUR,4523,Pune,MAHARASHTRA
186574,WARUDE,SHIRUR,4523,Pune,MAHARASHTRA
186546,PIMPALEKHALSA,SHIRUR,4523,Pune,MAHARASHTRA
186508,HIVARE,SHIRUR,4523,Pune,MAHARASHTRA
186499,DHAMARI,SHIRUR,4523,Pune,MAHARASHTRA
186526,KHAIRENAGAR,SHIRUR,4523,Pune,MAHARASHTRA
186514,KANHURMESAI,SHIRUR,4523,Pune,MAHARASHTRA
185319,MANDALEWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185343,RANMALA,AMBEGAON,4511,Pune,MAHARASHTRA
185304,KHADAKWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185334,PONDEWADI,AMBEGAON,4511,Pune,MAHARASHTRA
186556,SAVINDANE,SHIRUR,4523,Pune,MAHARASHTRA
186522,KAWATHE,SHIRUR,4523,Pune,MAHARASHTRA
186493,CHANDOH,SHIRUR,4523,Pune,MAHARASHTRA
186503,PHAKATE,SHIRUR,4523,Pune,MAHARASHTRA
298905,SHARADWADI,SHIRUR,4523,Pune,MAHARASHTRA
186549,PIMPARKHED,SHIRUR,4523,Pune,MAHARASHTRA
185280,DEVGAON,AMBEGAON,4511,Pune,MAHARASHTRA
185311,LAKHANGAON,AMBEGAON,4511,Pune,MAHARASHTRA
185302,KATHAPUR BK.,AMBEGAON,4511,Pune,MAHARASHTRA
186521,KATHAPUR KH.,SHIRUR,4523,Pune,MAHARASHTRA
185328,PARGAON T. AWASARI BK.,AMBEGAON,4511,Pune,MAHARASHTRA
185297,JAWALE,AMBEGAON,4511,Pune,MAHARASHTRA
185320,MENGADEWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185296,JARKARWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185314,LONI,AMBEGAON,4511,Pune,MAHARASHTRA
185281,DHAMANI,AMBEGAON,4511,Pune,MAHARASHTRA
185326,PAHAD DARA,AMBEGAON,4511,Pune,MAHARASHTRA
185349,SHIRDALEWADI,AMBEGAON,4511,Pune,MAHARASHTRA
186084,GADAKHWADI,KHED,4518,Pune,MAHARASHTRA
186067,CHINCHBAIWADI,KHED,4518,Pune,MAHARASHTRA
186185,WAFGAON,KHED,4518,Pune,MAHARASHTRA
186095,JAVULKE BK.,KHED,4518,Pune,MAHARASHTRA
185267,AWASARI BK.,AMBEGAON,4511,Pune,MAHARASHTRA
185325,NIRGUDSAR,AMBEGAON,4511,Pune,MAHARASHTRA
185355,TAWHAREWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185337,PIMPALGAON T. MAHALUNGE,AMBEGAON,4511,Pune,MAHARASHTRA
185268,AWASARI KH.,AMBEGAON,4511,Pune,MAHARASHTRA
185283,DHONDMALA SHINDEWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185331,PETH,AMBEGAON,4511,Pune,MAHARASHTRA
185354,TAMBADEMALA,AMBEGAON,4511,Pune,MAHARASHTRA
185346,SHEWALWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185324,NIGHOTWADI,AMBEGAON,4511,Pune,MAHARASHTRA
185358,THUGAON,AMBEGAON,4511,Pune,MAHARASHTRA
186130,MIRAJEWADI,KHED,4518,Pune,MAHARASHTRA
185271,BHAVADI,AMBEGAON,4511,Pune,MAHARASHTRA
185301,KAREGAON,AMBEGAON,4511,Pune,MAHARASHTRA
186053,BAHIRWADI,KHED,4518,Pune,MAHARASHTRA
186138,PADALI,KHED,4518,Pune,MAHARASHTRA
186139,PANGARI,KHED,4518,Pune,MAHARASHTRA
186116,KOHINKARWADI,KHED,4518,Pune,MAHARASHTRA
186156,SANDBHORWADI,KHED,4518,Pune,MAHARASHTRA
186178,WARACHI BHAMBURWADI,KHED,4518,Pune,MAHARASHTRA
