gp_code,gp_name,dist_to_coast_km,dist_to_water_km
186434,MAHUR,103.78,31.87
,,107.54,36.06
,,107.04,29.63
186478,VIR,107.58,30.17
186475,TONDAL,104.16,28.91
185495,GUNAND,102.45,26.92
185594,TAPREWADI,101.76,28.03
185558,PENJALWADI,101.13,28.92
185546,NHAVI 322,99.7,26.72
185614,VATHAR KH.,101.02,25.81
185562,PANDE,96.42,25.31
185476,BHAMBAVADE,97.67,25.69
185479,BHONGVALI,97.66,28.93
186436,MANDHAR,100.51,31.93
186407,DAVANEWADI,99.72,33.98
186410,DHANKAWADI,97.78,31.56
186422,KALDARI,96.85,33.46
185544,MORWADI,92.96,30.12
185608,WAGAJWADI,94.01,29.11
185584,SAVARDARE,94.81,26.62
185525,KIKVI,91.69,26.47
185486,DHANGAWADI,90.3,26.7
185555,NIGDE,89.59,27.42
185510,KAPURHOL,89.37,28.41
185488,DIVALE,89.5,30.62
185496,HARISHCHANDRI,88.11,28.49
185597,UMBARE,86.69,27.78
185508,KAMTHADI,87.25,30.18
185578,SANGAVI KH.,84.31,27.96
185522,KHADKI,85.51,28.2
185543,MOHARI KH.,85.75,25.66
185542,MOHARI BK.,84.11,25.87
185554,NAHRE,83.36,23.49
185462,ALANDEWADI,86.93,24.08
185595,TELAVADI,87.3,26.08
185518,KASURDI GUMA,87.57,25.27
185461,ALANDE,88.57,23.87
185502,INGAVALI,88.44,22.14
185577,SANGAMNER,85.34,23.0
185580,SANGAVI HIMA,84.52,20.49
185599,VADGAON DAL,86.26,17.84
185615,YEVALI,84.44,19.47
185598,UTROLI,84.46,16.81
185521,KENJAL,90.95,24.39
185582,SAROLE,93.44,25.51
185569,RAJAPUR,95.12,24.63
185492,GOKAVADI,85.24,11.89
185470,BALAWADI,85.14,8.84
,,110.71,32.85
186437,MANDAKI,113.03,34.08
186417,HARNI,110.74,35.51
,,108.53,32.58
186456,PINGORI,111.22,40.42
,,112.0,38.57
,,117.16,42.68
186406,DOUNDAJ,114.74,41.43
186480,VALHE,117.64,41.4
,,117.24,39.44
186480,VALHE,114.17,38.07
186459,PISURTI,115.9,36.42
186421,JEUOR,116.1,34.37
186455,PIMPARI KH.,118.72,36.64
186415,GULUNCHE,120.97,40.32
185380,GADADARWADI,124.52,41.86
185394,KARANJE,126.83,44.29
185372,CHAUDHARWADI,125.61,44.02
186423,KARNALWADI,121.88,42.58
186463,RAKH,121.32,43.49
186441,NAVLI,122.11,40.06
185421,MODHAVE,127.15,41.22
185424,MURTI,128.43,38.04
259677,MORALWADI,131.15,39.02
185411,MAGARWADI,129.07,44.12
185395,KARNAJPUL,129.18,44.93
185458,VAKI,131.51,42.46
185448,SORTEWADI,130.42,45.33
185425,MURUM,129.81,44.11
185459,WANEWADI,127.34,41.83
185457,VAGHALWADI,127.5,42.24
185400,KHANDOBACHIWADI,125.29,41.24
185428,NIMBUT,123.68,39.24
186414,GHERA PU.*,121.08,37.57
185385,HOL,132.59,46.97
259675,SADOBACHIWADI,134.7,45.78
185405,KORHALE KH.,136.39,47.16
185409,LATE,138.95,47.17
259678,THOPATEWADI,140.48,44.61
185407,KURNEWADI,142.46,43.02
185417,MANPPAWASTI,143.61,42.45
185415,MALWADILONI,140.38,45.73
